project_name;Adresse;City;Year;Jan_KwH;Feb_KwH;Mar_KwH;Apr__KwH;may__KwH;Jun_KwH;Jul_KwH;Aug_KwH;Sep_KwH;Oct_KwH;Nov_KwH;Dec_KwH;Year_total_KwH
Bøgata studenby;Bøgata 42A;ÅLESUND;2020;;;;;;;;;  524,08; 1 690,40;;; 2 214,48
Bøgata studenby;Bøgata 42A;ÅLESUND;2021; 19 401,92; 19 914,55; 20 314,33; 18 836,31; 13 549,59; 7 533,07; 5 775,81; 9 573,32; 13 614,60; 15 777,39; 20 042,63; 18 835,53; 183 169,05
Bøgata studenby;Bøgata 42A;ÅLESUND;2022; 19 811,63; 23 361,13; 20 595,52; 17 495,17; 16 049,30; 8 667,74; 5 303,65; 8 451,22; 12 360,93; 15 788,75; 17 170,76; 20 023,52; 185 079,33
Bøgata studenby;Bøgata 42A;ÅLESUND;2023; 21 991,34; 21 548,19; 26 393,39; 17 771,30; 17 303,80; 10 245,70; 7 127,14; 10 859,88; 13 398,30; 16 902,59; 21 167,23; 21 334,57; 206 043,42
Bøgata studenby;Bøgata 42A;ÅLESUND;2024; 22 616,02; 21 411,55; 18 925,96; 17 449,48; 11 809,93; 7 379,94; 6 024,51; 9 676,78; 13 340,65; 17 950,76; 21 854,40; 20 326,40; 188 766,38
Bøgata studenby;Bøgata 42A;ÅLESUND;2025; 25 352,44; 21 576,64; 20 793,38; 14 771,70; 14 156,68; 7 637,14; 3 275,95; 1 320,32;;;;; 108 884,25
Fogdegården studentby;Fogd Greves veg 1;ÅLESUND;2020;;;;;;;;;  65,44;  151,66;;;  217,10
Fogdegården studentby;Fogd Greves veg 1;ÅLESUND;2021; 2 947,05; 2 824,49; 2 606,16; 2 451,45; 1 776,89; 1 606,68; 1 501,87; 1 719,97; 2 022,84; 2 288,14; 3 145,81; 2 474,81; 27 366,14
Fogdegården studentby;Fogd Greves veg 1;ÅLESUND;2022; 2 286,96; 2 696,62; 2 193,45; 2 427,85; 2 105,68; 1 701,81; 1 299,28; 1 286,13; 1 027,83;  896,39; 1 804,61; 5 721,60; 25 448,22
Fogdegården studentby;Fogd Greves veg 1;ÅLESUND;2023; 5 095,86; 3 845,32; 5 296,12; 3 717,42; 3 227,81; 2 079,27; 1 862,80; 1 969,65;;;;; 27 094,26
Gåseidmarka studentby;Gåseidvika 20B;ÅLESUND;2020;;;;;;;;;  235,00;  937,16;;; 1 172,16
Gåseidmarka studentby;Gåseidvika 20B;ÅLESUND;2021; 9 210,16; 8 419,93; 8 878,04; 8 124,03; 7 125,31; 5 609,09; 5 444,66; 6 710,91; 7 406,12; 8 377,61; 8 913,52; 7 703,65; 91 923,02
Gåseidmarka studentby;Gåseidvika 20B;ÅLESUND;2022; 7 908,85; 7 857,18; 7 621,76; 6 543,79; 6 537,46; 4 936,68; 4 174,69; 5 295,97; 5 915,44; 7 017,28; 7 217,54; 7 518,11; 78 544,73
Gåseidmarka studentby;Gåseidvika 20B;ÅLESUND;2023; 7 616,39; 7 311,98; 8 298,26; 6 654,76; 6 326,81; 4 586,36; 4 245,50; 5 407,72; 5 967,21; 6 987,55; 7 221,80; 6 510,34; 77 134,67
